OKRAJ,NSI,SMS,SLS,KSS,SD,ZZ,DESUS,SDS,ZARES,NLPB,LDS,SNS
6001,0.1859,0.0197,0.0475,0.0034,0.1758,0.0067,0.1023,0.1997,0.0618,0.0051,0.118,0.0739
6002,0.2743,0.013,0.029,0.0036,0.1036,0.0047,0.0673,0.3199,0.065,0.0031,0.0883,0.0282
6003,0.1914,0.0138,0.0128,0.0014,0.1703,0.0062,0.0839,0.2335,0.1274,0.003,0.1276,0.0286
6004,0.3629,0.0169,0.0318,0.0022,0.1022,0.0062,0.0737,0.2092,0.0748,0.0053,0.0882,0.0266
6005,0.1288,0.0282,0.0313,0.0015,0.1548,0.0084,0.0819,0.3001,0.1074,0.0033,0.1277,0.0266
6006,0.1729,0.0163,0.0678,0.003,0.1447,0.0074,0.0735,0.2724,0.0907,0.0038,0.1231,0.0242
6007,0.192,0.0209,0.0694,0.0072,0.1377,0.0025,0.0689,0.2782,0.0829,0.0022,0.1113,0.0267
6008,0.1732,0.0234,0.0278,0.0037,0.2201,0.0083,0.0839,0.2469,0.0664,0.0046,0.1039,0.0378
6009,0.0584,0.0146,0.0203,0.0027,0.2378,0.0075,0.1207,0.1375,0.1145,0.0044,0.248,0.0336
6010,0.0704,0.0142,0.0128,0.0041,0.2097,0.0075,0.0877,0.1743,0.1003,0.0048,0.2642,0.0501
6011,0.139,0.0323,0.029,0.003,0.1527,0.0087,0.07,0.1542,0.1299,0.0072,0.2383,0.0357
7001,0.1643,0.0234,0.064,0.0041,0.1106,0.0057,0.0922,0.336,0.0708,0.0048,0.0936,0.0305
7002,0.0791,0.0131,0.2862,0.0015,0.1322,0.0039,0.0798,0.2467,0.0641,0.0019,0.0667,0.0249
7003,0.1551,0.0191,0.0717,0.0021,0.1207,0.0073,0.0729,0.3217,0.0981,0.0061,0.0935,0.0319
7004,0.1097,0.021,0.0311,0.0014,0.1638,0.0071,0.1195,0.2624,0.0775,0.0024,0.1649,0.0393
7005,0.0979,0.0222,0.0455,0.0017,0.1862,0.0078,0.0896,0.2808,0.1236,0.0022,0.1092,0.0333
7006,0.0965,0.0253,0.0414,0.0022,0.1423,0.0057,0.1053,0.2935,0.096,0.0031,0.1337,0.055
7007,0.0901,0.018,0.1303,0.0022,0.1283,0.0068,0.0855,0.3231,0.0804,0.0019,0.0942,0.0392
7008,0.1051,0.0216,0.0166,0.0014,0.2349,0.0125,0.0813,0.231,0.1595,0.0031,0.1082,0.0247
7009,0.0901,0.023,0.0218,0.0015,0.2151,0.0056,0.125,0.244,0.1243,0.0028,0.1055,0.0413
7010,0.0701,0.0227,0.0218,0.0027,0.2275,0.0069,0.1079,0.256,0.1288,0.005,0.1176,0.033
7011,0.0727,0.0207,0.0204,0.0042,0.2135,0.0045,0.1356,0.251,0.1297,0.0034,0.111,0.0335
8001,0.2099,0.0453,0.0591,0.0058,0.1154,0.0068,0.0619,0.2884,0.0614,0.004,0.1273,0.0147
8002,0.2106,0.0251,0.0438,0.001,0.1119,0.0069,0.1043,0.2782,0.0961,0.0033,0.0907,0.0282
8003,0.1187,0.0301,0.0757,0.0031,0.1377,0.0089,0.1515,0.2374,0.0649,0.0031,0.1439,0.0248
8004,0.1106,0.0189,0.0892,0.0056,0.1904,0.0048,0.0679,0.2663,0.0665,0.0032,0.1442,0.0324
8005,0.1458,0.0129,0.0557,0.0025,0.2602,0.0038,0.0502,0.258,0.0658,0.0015,0.1176,0.0259
8006,0.1701,0.0524,0.0495,0.0041,0.1638,0.0097,0.0855,0.2598,0.0717,0.0019,0.1058,0.0256
8007,0.1468,0.0886,0.0734,0.0043,0.0941,0.0024,0.0694,0.357,0.0521,0.0024,0.0935,0.0158
8008,0.1081,0.0965,0.0265,0.0026,0.1138,0.0067,0.0944,0.3812,0.0737,0.0029,0.0749,0.0187
8009,0.1403,0.022,0.0807,0.0012,0.0779,0.0093,0.0508,0.4753,0.0429,0.0018,0.077,0.0209
8010,0.0984,0.0186,0.0208,0.0007,0.1752,0.0229,0.073,0.3419,0.0984,0.0034,0.1228,0.024
8011,0.1671,0.025,0.1013,0.0029,0.0825,0.0099,0.0778,0.362,0.0449,0.0032,0.0936,0.0298
